sample_id,d_DIM_0002,BEAM_TO_SURFACE_distance,BEAM_SURFACE_ALIGNMENT_delta_x,BEAM_SURFACE_ALIGNMENT_delta_y,BEAM_SURFACE_ALIGNMENT_delta_z,BEAM_SURFACE_ALIGNMENT_delta_rx,BEAM_SURFACE_ALIGNMENT_delta_ry,BEAM_SURFACE_ALIGNMENT_delta_rz,CENTER_TO_NORTH_EDGE_distance,CENTER_TO_EAST_EDGE_distance,NORTH_TO_SOUTH_TILT_delta_x,NORTH_TO_SOUTH_TILT_delta_y,NORTH_TO_SOUTH_TILT_delta_z,EAST_TO_WEST_TILT_delta_x,EAST_TO_WEST_TILT_delta_y,EAST_TO_WEST_TILT_delta_z
70,6.350173686060488,6.350173686060488,0.0,0.0,6.350173686060488,0.0,0.0,0.0,5.0,5.0,0.0,-10.0,0.0,-10.0,0.0,0.0
71,6.349572205704897,6.349572205704897,0.0,0.0,6.349572205704897,0.0,0.0,0.0,5.0,5.0,0.0,-10.0,0.0,-10.0,0.0,0.0
72,6.350115905393723,6.350115905393723,0.0,0.0,6.350115905393723,0.0,0.0,0.0,5.0,5.0,0.0,-10.0,0.0,-10.0,0.0,0.0
73,6.350294891331586,6.350294891331586,0.0,0.0,6.350294891331586,0.0,0.0,0.0,5.0,5.0,0.0,-10.0,0.0,-10.0,0.0,0.0
74,6.349805734722663,6.349805734722663,0.0,0.0,6.349805734722663,0.0,0.0,0.0,5.0,5.0,0.0,-10.0,0.0,-10.0,0.0,0.0
75,6.34959056871851,6.34959056871851,0.0,0.0,6.34959056871851,0.0,0.0,0.0,5.0,5.0,0.0,-10.0,0.0,-10.0,0.0,0.0
76,6.349447148877992,6.349447148877992,0.0,0.0,6.349447148877992,0.0,0.0,0.0,5.0,5.0,0.0,-10.0,0.0,-10.0,0.0,0.0
77,6.3501104280097005,6.3501104280097005,0.0,0.0,6.3501104280097005,0.0,0.0,0.0,5.0,5.0,0.0,-10.0,0.0,-10.0,0.0,0.0
78,6.349759300553602,6.349759300553602,0.0,0.0,6.349759300553602,0.0,0.0,0.0,5.0,5.0,0.0,-10.0,0.0,-10.0,0.0,0.0
79,6.350123916948609,6.350123916948609,0.0,0.0,6.350123916948609,0.0,0.0,0.0,5.0,5.0,0.0,-10.0,0.0,-10.0,0.0,0.0
80,6.350944748087859,6.350944748087859,0.0,0.0,6.350944748087859,0.0,0.0,0.0,5.0,5.0,0.0,-10.0,0.0,-10.0,0.0,0.0
81,6.349815164402012,6.349815164402012,0.0,0.0,6.349815164402012,0.0,0.0,0.0,5.0,5.0,0.0,-10.0,0.0,-10.0,0.0,0.0
82,6.351368171927079,6.351368171927079,0.0,0.0,6.351368171927079,0.0,0.0,0.0,5.0,5.0,0.0,-10.0,0.0,-10.0,0.0,0.0
83,6.3502397825821015,6.3502397825821015,0.0,0.0,6.3502397825821015,0.0,0.0,0.0,5.0,5.0,0.0,-10.0,0.0,-10.0,0.0,0.0
84,6.3510969661199566,6.3510969661199566,0.0,0.0,6.3510969661199566,0.0,0.0,0.0,5.0,5.0,0.0,-10.0,0.0,-10.0,0.0,0.0
85,6.349513901780179,6.349513901780179,0.0,0.0,6.349513901780179,0.0,0.0,0.0,5.0,5.0,0.0,-10.0,0.0,-10.0,0.0,0.0
86,6.350240497237068,6.350240497237068,0.0,0.0,6.350240497237068,0.0,0.0,0.0,5.0,5.0,0.0,-10.0,0.0,-10.0,0.0,0.0
87,6.3496632040461805,6.3496632040461805,0.0,0.0,6.3496632040461805,0.0,0.0,0.0,5.0,5.0,0.0,-10.0,0.0,-10.0,0.0,0.0
88,6.349952125864161,6.349952125864161,0.0,0.0,6.349952125864161,0.0,0.0,0.0,5.0,5.0,0.0,-10.0,0.0,-10.0,0.0,0.0
89,6.350409985303247,6.350409985303247,0.0,0.0,6.350409985303247,0.0,0.0,0.0,5.0,5.0,0.0,-10.0,0.0,-10.0,0.0,0.0
90,6.3493117312700935,6.3493117312700935,0.0,0.0,6.3493117312700935,0.0,0.0,0.0,5.0,5.0,0.0,-10.0,0.0,-10.0,0.0,0.0
91,6.349959532285599,6.349959532285599,0.0,0.0,6.349959532285599,0.0,0.0,0.0,5.0,5.0,0.0,-10.0,0.0,-10.0,0.0,0.0
92,6.350733368500912,6.350733368500912,0.0,0.0,6.350733368500912,0.0,0.0,0.0,5.0,5.0,0.0,-10.0,0.0,-10.0,0.0,0.0
93,6.350418421002756,6.350418421002756,0.0,0.0,6.350418421002756,0.0,0.0,0.0,5.0,5.0,0.0,-10.0,0.0,-10.0,0.0,0.0
94,6.350945460817034,6.350945460817034,0.0,0.0,6.350945460817034,0.0,0.0,0.0,5.0,5.0,0.0,-10.0,0.0,-10.0,0.0,0.0
95,6.349768693566535,6.349768693566535,0.0,0.0,6.349768693566535,0.0,0.0,0.0,5.0,5.0,0.0,-10.0,0.0,-10.0,0.0,0.0
96,6.350216804063883,6.350216804063883,0.0,0.0,6.350216804063883,0.0,0.0,0.0,5.0,5.0,0.0,-10.0,0.0,-10.0,0.0,0.0
97,6.3508714913476245,6.3508714913476245,0.0,0.0,6.3508714913476245,0.0,0.0,0.0,5.0,5.0,0.0,-10.0,0.0,-10.0,0.0,0.0
98,6.349928043959577,6.349928043959577,0.0,0.0,6.349928043959577,0.0,0.0,0.0,5.0,5.0,0.0,-10.0,0.0,-10.0,0.0,0.0
99,6.349868690816683,6.349868690816683,0.0,0.0,6.349868690816683,0.0,0.0,0.0,5.0,5.0,0.0,-10.0,0.0,-10.0,0.0,0.0
100,6.3489222261760485,6.3489222261760485,0.0,0.0,6.3489222261760485,0.0,0.0,0.0,5.0,5.0,0.0,-10.0,0.0,-10.0,0.0,0.0
101,6.351331201385295,6.351331201385295,0.0,0.0,6.351331201385295,0.0,0.0,0.0,5.0,5.0,0.0,-10.0,0.0,-10.0,0.0,0.0
102,6.3492235766358025,6.3492235766358025,0.0,0.0,6.3492235766358025,0.0,0.0,0.0,5.0,5.0,0.0,-10.0,0.0,-10.0,0.0,0.0
103,6.349992938595508,6.349992938595508,0.0,0.0,6.349992938595508,0.0,0.0,0.0,5.0,5.0,0.0,-10.0,0.0,-10.0,0.0,0.0
104,6.35125607472517,6.35125607472517,0.0,0.0,6.35125607472517,0.0,0.0,0.0,5.0,5.0,0.0,-10.0,0.0,-10.0,0.0,0.0
105,6.349785756917984,6.349785756917984,0.0,0.0,6.349785756917984,0.0,0.0,0.0,5.0,5.0,0.0,-10.0,0.0,-10.0,0.0,0.0
