sample_id,d_DIM_0001,pos_BASE_MOUNT_1_x,pos_BASE_MOUNT_1_y,pos_BASE_MOUNT_1_z,pos_BASE_MOUNT_2_x,pos_BASE_MOUNT_2_y,pos_BASE_MOUNT_2_z,pos_BASE_MOUNT_3_x,pos_BASE_MOUNT_3_y,pos_BASE_MOUNT_3_z,pos_BASE_MOUNT_4_x,pos_BASE_MOUNT_4_y,pos_BASE_MOUNT_4_z,d_DIM_0006,pos_STAGE_OPT_REF_x,pos_STAGE_OPT_REF_y,pos_STAGE_OPT_REF_z,pos_STAGE_ADJ_1_x,pos_STAGE_ADJ_1_y,pos_STAGE_ADJ_1_z,pos_STAGE_ADJ_2_x,pos_STAGE_ADJ_2_y,pos_STAGE_ADJ_2_z,pos_STAGE_ADJ_3_x,pos_STAGE_ADJ_3_y,pos_STAGE_ADJ_3_z,pos_STAGE_ADJ_4_x,pos_STAGE_ADJ_4_y,pos_STAGE_ADJ_4_z,d_DIM_0012,BASE_TO_OPTICAL_CENTER_distance,OPTICAL_ALIGNMENT_delta_x,OPTICAL_ALIGNMENT_delta_y,OPTICAL_ALIGNMENT_delta_z,OPTICAL_ALIGNMENT_delta_rx,OPTICAL_ALIGNMENT_delta_ry,OPTICAL_ALIGNMENT_delta_rz,STAGE_LENS_POSITION_delta_x,STAGE_LENS_POSITION_delta_y,STAGE_LENS_POSITION_delta_z,AXIS_CONCENTRICITY_concentricity_error,ADJ_SPACING_distance
10,50.00035459800562,0.0001770656713883294,-0.0004325156313071336,-0.0020904846786390526,-0.0025021903886602707,-0.00012629551122889562,0.0035288104936465987,-0.003952743486223581,-0.005912073914562979,0.002752643128720835,0.0024089718139638948,0.00017033034220671387,-0.00045718944004283186,15.002239167082267,-0.0005375823967659477,-5.935399796423904e-05,0.0012459563831337,-0.002362740681272728,0.001710719170849292,-0.0006268724656302276,0.006431779350468829,0.001674117454772393,0.0013194184284438112,-0.0031337603796981555,-0.003056381699345079,-0.00033924488012962336,-0.0008828214653046582,-0.0044684200378722555,-0.000919218226081268,5.999658835125344,66.99811543092336,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,70.71067811865476
11,50.00027067611809,0.0002597243475084488,0.0008385853927684369,0.002979823301911625,0.0015731717608756413,-0.0017693372999085222,-0.000841001920769368,-0.0001601250694910289,-5.5585575662004804e-05,-0.0020021946074004395,0.003467034232572451,-0.0020501970286151755,0.0006488208475783338,14.999718544753032,-0.0004685553219896093,2.3843628261840906e-05,0.000560725708068829,-0.001110875237560771,-0.006614248970935796,0.0012690130859428495,-2.312001604732657e-05,-0.0005284715581937192,0.004250252160409759,0.00151166002862553,0.0033468339996957676,-0.0002355100383344655,0.004880952750869191,0.00029083837323786045,0.0016171867581732582,5.999430961589121,67.00055213136505,0.0,0.0,17.999999999999986,0.0,0.0,0.0,0.0,0.0,17.999999999999986,0.0,70.71067811865476
12,50.00070508000188,0.0006689152503097377,-0.003360171594222234,-0.0010061570961572798,-0.00040577513757670923,0.0006875709065943094,0.0005298116054948885,0.0031476229750595094,0.006908408897621325,0.004395924907735263,-0.00025932186923644386,-0.0001405899129338587,0.0022943836161180187,15.002399725134216,-0.00027983665800150007,-0.0011608146592717455,-0.0006890125713406531,0.00012073098092240268,1.6449950645086198e-05,-0.0015601474086292836,0.0006629775004244006,-0.007369265331079948,-0.001293336805497187,-0.0021874785652215905,0.004710582772663546,-0.001561782293717101,0.00322928724870877,-0.004735007740191759,0.0022968599793893037,5.999791593020309,66.99830535486765,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,70.71067811865476
13,49.99892935151998,0.003600807467544462,0.007972551278612836,-0.0008439101949633803,-0.0038396440930959495,0.0028815268289203635,0.0003485005335730762,-0.0017265102009684566,-0.0008621526445613261,-0.0008627215546518691,-0.0015265875929515156,0.006351576331760235,-0.00010179850415734069,15.00075004834795,0.00023769873477232344,0.0004352630274754021,0.0004838702326352349,0.0007754984045576487,-4.318634888153739e-05,0.0018648449252489756,0.0024602648972928097,-0.00996158186870286,0.00044901514210820675,0.00021864463844564934,-1.772979653835702e-05,0.0013967523555423152,-0.003200309603441011,-0.004702474897672236,-0.0021045969416892,5.999640305246469,66.99817930317204,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,70.71067811865476
14,50.00193747231391,-0.009689461828885363,0.01504526793949786,0.0005139125862615488,-0.005640981494002951,0.0022145695253142916,-0.0002266999797798637,-0.0018481665719516313,-0.002480738667263032,-0.0007173476334743637,-0.0009613183247297538,-0.0012789697904307309,0.0009281476908717015,14.997474360743194,-0.00013999301729633937,0.00017902218900747296,-0.0013297289045916892,-0.002616856907102825,6.433619064474301e-05,-0.000736200599280012,-0.00895090414746864,-0.007001968159572375,-0.0035512420940337452,-0.000566428055511483,-0.0015481025069220926,-0.000406620336949208,0.002716074027719022,0.0022618235178742158,-0.0008000136046742808,5.9998350088819565,67.0044631115707,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,70.71067811865476
15,49.99921506995766,-0.008695059762296635,0.002789696567346562,0.0019669713872003283,3.6743704256503114e-05,3.527431124276688e-06,-0.00037498254732803115,-0.0021742667436192987,-0.006911115521157461,0.0024231943292229974,-0.002310428871849803,-0.009049248402596596,-9.369527956987299e-05,15.00127316472727,0.0003783603924832936,0.00030078996428930415,-4.509096750519497e-05,-0.0002977793718302277,-0.002293308115529258,-0.0004366797994947451,-0.0012190081085877629,0.0007139243364524589,-0.0003897820408928325,0.00412438963641273,-0.009251693796287805,-7.392899902515514e-05,0.0010483570195010965,0.0008858125371862981,0.0005347773866121264,5.999814389446929,66.99794190523038,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,70.71067811865476
16,49.99882295933876,0.002510379051726451,0.0015804977734333206,0.0031613354308266503,-0.008446603505762078,0.005337716671785909,0.001357615690266468,-0.0015745605504325505,-0.0014825580145312223,-0.0002902323023611531,-0.003510323103761975,0.002082766274753881,-0.00023290548493745097,15.00494647413889,0.00011243209669634032,-0.0008942655046822899,0.0018135448289160587,0.00011848327496336986,-8.857882239259676e-05,0.0032130909935267986,-0.005777548200961844,0.007262019811478578,0.001224176674111292,0.00345255136685051,0.0018155994159808923,-0.0008884795554573084,0.0006007318614647662,-0.002690577335871683,0.0010150095420885213,6.000017510177804,66.99387648519986,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,70.71067811865476
17,49.99892821450255,-0.005550819376259521,0.006082595135704365,0.0024593486744699674,-0.004702025820935676,0.006201149118467412,0.0025278619389029634,0.0035430875920607996,0.0014179862064690198,0.0010719221001544146,-7.420196394876318e-05,0.00011725042218383484,0.000117969846974521,14.99743605369823,-0.0009094930974570294,-0.00038000095138364013,0.001061533338399969,0.00013711428835947495,0.001982497504824355,-0.0005384209892047171,-0.0013443056863796509,0.006004046568378586,-0.0010094514899207788,-0.0004883308008193078,-0.007975118607153534,0.003885629817503075,-0.007134173654241305,0.009537039518608603,-0.0027360853194200387,5.999830697988454,67.0014921608043,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,70.71067811865476
18,50.00075267992332,-0.0069040569238225675,0.003698127288415833,0.004101901299796878,0.00593747052621616,-0.008698300554861657,-0.0013915664827884706,-0.016187526328388595,0.003653152045727784,0.000701068806266647,-0.0014672878348862672,-0.006971448510390023,-0.0020197988930058665,15.003117056789492,0.000654467335658165,0.0017843783937250906,-0.000231759337657325,-0.0021537166735581814,-0.0026968959893689756,0.0023744993153679192,-0.008234194198572376,0.003232403734123798,-0.0009222602016573332,-0.0005601541040715434,0.00032290521755072273,0.00011544012797422198,-0.003589168584264006,0.007305752315127162,3.74079122610137e-05,6.000290569513759,66.99763562313383,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,70.71067811865476
19,50.00202496040254,-0.005613056840546867,-0.001838107354061405,0.0017491037509777096,0.0025838467858631826,-7.154506252635831e-05,0.001391318940475957,-0.003772725447962046,-0.0024523901637524543,-0.003068693517787605,-0.003818124572964201,-0.006727000686211852,0.0018228634756148894,15.00760661874821,0.0003478849393961604,-0.002242084108804556,-0.00039733239535444896,-0.0013652649752778716,-0.0027718173284698878,0.003415785632037359,0.0021590600132076533,0.0023686324814729486,-0.001518616766665533,0.0034532931575236413,0.0020752488375172288,-0.002435725857734572,0.001749528780452053,0.0049352420590575135,0.0009410939379245615,6.000062640499215,66.99441834165432,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,70.71067811865476
